Date,Open,High,Low,Close,Adj Close,Volume
2022-01-31,13.2,13.2,12.95,13.05,13.05,4497
2022-01-28,13.2,13.2,12.95,13.05,13.05,5303
2022-01-27,13.05,13.2,12.95,13.05,13.05,5538
2022-01-26,13.25,13.25,12.95,13.05,13.05,6805
2022-01-25,13.25,13.25,13.05,13.05,13.05,1968
2022-01-24,13.05,13.25,12.8,13.05,13.05,4949
2022-01-21,13.2,13.2,12.9,13.15,13.15,1374
2022-01-20,13.25,13.25,12.95,13.15,13.15,915
2022-01-19,13.15,13.25,12.95,13.25,13.25,9522
2022-01-18,13.1,13.15,12.85,13.15,13.15,16265
2022-01-17,13.2,13.2,12.95,13.05,13.05,12703
2022-01-14,13.25,13.25,12.9,13.05,13.05,16823
2022-01-13,13.3,13.3,13.1,13.15,13.15,9242
2022-01-12,13.35,13.35,13.1,13.2,13.2,6786
2022-01-11,13.3,13.3,13.2,13.2,13.2,2532
2022-01-10,13.15,13.3,13.15,13.3,13.3,683
2022-01-07,13.25,13.35,13.15,13.15,13.15,3059
2022-01-06,13.3,13.3,13.1,13.15,13.15,4074
2022-01-05,13.3,13.3,13.15,13.25,13.25,2362
2022-01-04,13.35,13.35,13.1,13.2,13.2,5024
2022-01-03,13.35,13.35,13.25,13.3,13.3,2203
2021-12-31,13.35,13.4,13.35,13.35,13.35,1340
2021-12-30,13.35,13.35,13.2,13.35,13.35,3932
2021-12-29,13.1,13.3,13.1,13.3,13.3,2357
2021-12-28,13.05,13.25,13.05,13.1,13.1,4236
2021-12-27,13.1,13.25,13.05,13.05,13.05,1818
2021-12-24,13.3,13.3,12.95,13.1,13.1,5346
2021-12-23,13.2,13.25,13.1,13.25,13.25,2553
2021-12-22,13.3,13.3,13.1,13.15,13.15,5122
2021-12-21,13.4,13.4,13.2,13.3,13.3,867
2021-12-20,13.4,13.4,13.2,13.4,13.4,1093
2021-12-17,13.5,13.5,13.2,13.4,13.4,4770
2021-12-16,13.3,13.55,13.3,13.35,13.35,1255
2021-12-15,13.4,13.4,13.2,13.2,13.2,1828
2021-12-14,13.4,13.45,13.3,13.3,13.3,950
2021-12-13,13.45,13.45,13.3,13.4,13.4,526
2021-12-10,13.45,13.45,13.3,13.45,13.45,1015
2021-12-09,13.45,13.45,13.3,13.45,13.45,826
2021-12-08,13.5,13.5,13.25,13.25,13.25,2014
2021-12-07,13.5,13.5,13.25,13.5,13.5,1608
2021-12-06,13.45,13.5,13.4,13.5,13.5,345
2021-12-03,13.45,13.45,13.2,13.35,13.35,7356
2021-12-02,13.55,13.55,13.2,13.25,13.25,4501
2021-12-01,13.45,13.5,13.2,13.5,13.5,3478
2021-11-30,13.35,13.4,13.25,13.4,13.4,468
2021-11-29,13.6,13.6,13.4,13.4,13.4,830
2021-11-26,13.8,13.85,13.4,13.5,13.5,765
2021-11-25,13.6,13.9,13.6,13.65,13.65,1713
2021-11-24,13.65,13.75,13.65,13.65,13.65,768
2021-11-23,13.5,13.7,13.4,13.65,13.65,3360
2021-11-22,13.3,13.5,13.3,13.5,13.5,2504
2021-11-19,13.45,13.5,13.3,13.3,13.3,1369
2021-11-18,13.5,13.5,13.35,13.45,13.45,3375
2021-11-17,13.35,13.5,13.35,13.5,13.5,3084
2021-11-16,13.4,13.5,13.2,13.4,13.4,4084
2021-11-15,13.6,13.6,13.45,13.45,13.45,1412
2021-11-12,13.6,13.6,13.4,13.55,13.55,342
2021-11-11,13.4,13.6,13.4,13.6,13.6,448
2021-11-10,13.55,13.65,13.4,13.45,13.45,2778
2021-11-09,13.5,13.55,13.4,13.55,13.55,556
2021-11-08,13.4,13.5,13.3,13.5,13.5,1810
2021-11-05,13.35,13.55,13.35,13.5,13.5,830
2021-11-04,13.6,13.7,13.5,13.5,13.5,182
2021-11-03,13.35,13.7,13.35,13.35,13.35,4921
2021-11-02,13.45,13.45,13.3,13.45,13.45,1180
2021-11-01,13.55,13.55,13.2,13.4,13.4,6405
2021-10-29,13.45,13.55,13.25,13.55,13.55,3814
2021-10-28,13.5,13.65,13.25,13.3,13.3,6014
2021-10-27,13.55,13.55,13.25,13.4,13.4,3685
2021-10-26,13.5,13.65,13.2,13.4,13.4,8599
2021-10-25,13.45,13.55,13.2,13.4,13.4,7385
2021-10-22,13.5,13.7,13.3,13.45,13.45,6837
2021-10-21,13.65,13.7,13.5,13.6,13.6,5092
2021-10-20,13.65,13.65,13.45,13.6,13.6,1027
2021-10-19,13.55,13.65,13.55,13.6,13.6,2417
2021-10-18,13.45,13.7,13.45,13.6,13.6,3094
2021-10-15,13.3,13.45,13.3,13.45,13.45,1250
2021-10-14,13.4,13.45,13.2,13.25,13.25,1227
2021-10-13,13.4,13.5,13.25,13.25,13.25,3439
2021-10-12,13.4,13.45,13.2,13.4,13.4,4067
2021-10-11,13.45,13.45,13.2,13.35,13.35,3359
2021-10-08,13.5,13.5,13.35,13.5,13.5,472
2021-10-07,13.4,13.5,13.2,13.45,13.45,3499
2021-10-06,13.25,13.45,13.0,13.45,13.45,6439
2021-10-05,13.25,13.5,13.1,13.4,13.4,8667
2021-10-04,13.7,13.7,13.2,13.4,13.4,3327
2021-10-01,13.5,13.65,13.4,13.5,13.5,469
2021-09-30,13.5,13.6,13.3,13.6,13.6,3096
2021-09-29,13.2,13.6,13.15,13.15,13.15,4784
2021-09-28,13.25,13.65,13.25,13.3,13.3,4826
2021-09-27,13.25,13.3,13.1,13.25,13.25,10506
2021-09-24,13.25,13.25,13.15,13.15,13.15,313
2021-09-23,13.15,13.25,13.1,13.25,13.25,686
2021-09-22,13.2,13.35,13.1,13.25,13.25,5206
2021-09-21,13.25,13.25,12.95,13.2,13.2,7251
2021-09-20,13.1,13.3,13.05,13.25,13.25,641
2021-09-17,13.3,13.35,13.05,13.3,13.3,8375
2021-09-16,13.2,13.35,13.05,13.3,13.3,5362
2021-09-15,13.2,13.2,13.0,13.2,13.2,3709
2021-09-14,13.2,13.35,12.95,13.0,13.0,4705
2021-09-13,13.15,13.3,12.95,13.1,13.1,1792
2021-09-10,13.3,13.3,13.25,13.25,13.25,1067
2021-09-09,13.05,13.3,13.05,13.3,13.3,1327
2021-09-08,12.9,13.25,12.9,13.15,13.15,711
2021-09-07,13.05,13.1,12.85,12.9,12.9,2482
2021-09-06,12.95,13.1,12.75,12.9,12.9,6290
2021-09-03,13.25,13.25,13.1,13.15,9.14,360
2021-09-02,13.15,13.3,13.15,13.15,9.14,569
2021-09-01,13.25,13.25,13.15,13.2,6.39,925
2021-08-31,13.2,13.4,13.15,13.15,6.36,3219
2021-08-30,13.2,13.3,13.1,13.1,6.34,234
2021-08-27,13.3,13.35,13.15,13.25,6.41,5044
2021-08-26,13.25,13.3,13.15,13.3,6.44,1517
2021-08-25,13.3,13.3,13.15,13.15,6.36,1695
2021-08-24,13.35,13.35,13.15,13.3,6.44,3330
2021-08-23,13.1,13.35,13.1,13.35,6.46,1821
2021-08-20,13.25,13.25,13.2,13.25,6.41,392
2021-08-19,13.15,13.5,13.1,13.2,6.39,3000
2021-08-18,13.3,13.45,13.2,13.2,6.39,3110
2021-08-17,13.05,13.3,13.05,13.3,6.44,2272
2021-08-16,13.3,13.3,13.05,13.1,6.34,2620
2021-08-13,13.1,13.25,13.1,13.2,6.39,1543
2021-08-12,13.3,13.3,13.1,13.15,6.36,852
2021-08-11,13.05,13.2,13.05,13.1,6.34,2165
2021-08-10,12.95,13.05,12.95,13.05,6.31,316
2021-08-09,12.95,13.05,12.95,13.05,6.31,772
2021-08-06,12.95,12.95,12.9,12.95,6.27,173
2021-08-05,13.0,13.0,12.9,12.9,6.24,115
2021-08-04,12.95,13.0,12.9,12.9,6.24,1210
2021-08-03,12.85,13.0,12.8,12.95,6.27,470
2021-08-02,12.95,13.0,12.85,12.85,6.22,368
2021-07-30,12.95,12.95,12.95,12.95,6.27,60
2021-07-29,12.9,12.9,12.85,12.85,6.22,404
2021-07-28,12.85,12.9,12.8,12.9,6.24,483
2021-07-27,12.85,12.85,12.8,12.8,6.19,583
2021-07-26,12.85,12.85,12.75,12.85,6.22,804
2021-07-23,12.9,12.9,12.75,12.75,6.17,1985
2021-07-22,12.95,12.95,12.75,12.75,6.17,275
2021-07-21,12.9,12.95,12.9,12.9,6.24,26
2021-07-20,12.9,12.9,12.85,12.85,6.22,42
2021-07-19,12.9,12.9,12.9,12.9,6.24,229
2021-07-16,12.9,12.9,12.8,12.85,6.22,562
2021-07-15,12.9,12.9,12.75,12.8,6.19,950
2021-07-14,13.0,13.0,12.9,12.9,6.24,311
2021-07-13,12.9,12.95,12.9,12.95,6.27,149
2021-07-12,12.95,13.0,12.9,12.9,6.24,2069
2021-07-09,12.95,12.95,12.85,12.95,6.27,893
2021-07-08,12.95,12.95,12.85,12.85,6.22,581
2021-07-07,12.8,12.9,12.75,12.85,6.22,603
2021-07-06,12.9,12.9,12.8,12.8,6.19,1215
2021-07-05,12.9,13.0,12.9,13.0,6.29,468
2021-07-02,13.05,13.05,12.8,12.8,6.19,3053
2021-07-01,13.1,13.1,12.9,13.0,6.29,563
2021-06-30,13.0,13.0,13.0,13.0,6.29,423
2021-06-29,12.9,12.95,12.9,12.9,6.24,1020
2021-06-28,13.1,13.1,12.95,13.05,6.31,39
2021-06-25,13.1,13.1,12.9,13.05,6.31,706
2021-06-24,13.1,13.1,13.0,13.0,6.29,1135
2021-06-23,13.1,13.1,12.85,13.1,6.34,829
2021-06-22,13.1,13.1,12.9,12.9,6.24,257
2021-06-21,13.0,13.05,12.9,13.0,6.29,1313
2021-06-18,13.0,13.1,12.9,13.0,6.29,1951
2021-06-17,13.0,13.0,12.9,13.0,6.29,752
2021-06-16,13.0,13.0,12.9,12.9,6.24,560
2021-06-15,13.0,13.05,12.9,12.95,6.27,2080
2021-06-14,13.1,13.1,12.9,12.9,6.24,170
2021-06-11,12.9,13.05,12.9,13.05,6.31,618
2021-06-10,12.95,13.0,12.85,12.85,6.22,568
2021-06-09,13.05,13.05,12.9,13.05,6.31,312
2021-06-08,13.05,13.05,12.9,13.0,6.29,372
2021-06-07,13.05,13.1,12.85,12.95,6.27,3329
2021-06-04,13.1,13.2,12.95,12.95,6.27,4049
2021-06-03,12.85,13.05,12.85,13.0,6.29,1101
2021-06-02,13.0,13.0,12.95,12.95,6.27,504
2021-06-01,12.95,13.0,12.75,13.0,6.29,6367
2021-05-31,13.2,13.2,12.85,13.0,6.29,3963
2021-05-28,13.0,13.1,12.9,13.0,6.29,1712
2021-05-27,13.0,13.05,12.9,12.95,6.27,2630
2021-05-26,12.9,13.0,12.9,12.9,6.24,552
2021-05-25,13.0,13.05,12.9,13.05,6.31,625
2021-05-24,12.95,13.1,12.85,13.0,6.29,4086
2021-05-21,12.9,13.0,12.9,12.95,6.27,1057
2021-05-20,13.1,13.1,12.95,12.95,6.27,1715
2021-05-19,12.9,13.2,12.85,13.0,6.29,1543
2021-05-18,13.0,13.25,12.95,12.95,6.27,1490
2021-05-17,12.85,13.3,12.85,13.0,6.29,5009
2021-05-14,13.05,13.05,12.7,12.95,6.27,7743
2021-05-13,13.0,13.05,12.9,12.9,6.24,797
2021-05-12,12.9,13.05,12.7,12.85,6.22,5655
2021-05-11,13.1,13.1,12.8,12.95,6.27,4017
2021-05-10,12.9,13.1,12.9,13.0,6.29,2632
2021-05-07,13.2,13.2,12.8,12.95,6.27,8211
2021-05-06,13.0,13.1,13.0,13.1,6.34,1293
2021-05-05,13.1,13.1,12.9,13.1,6.34,4333
2021-05-04,13.1,13.3,12.95,13.1,6.34,2372
2021-05-03,12.9,13.1,12.85,12.95,6.27,4397
2021-04-30,12.85,13.1,12.85,12.95,6.27,421
2021-04-29,12.95,13.1,12.9,12.9,6.24,3737
2021-04-28,13.0,13.0,12.75,12.95,6.27,1348
2021-04-27,13.0,13.0,12.75,12.95,6.27,4107
2021-04-26,13.1,13.1,12.95,13.0,6.29,2317
2021-04-23,13.1,13.1,12.9,13.0,6.29,4473
2021-04-22,13.1,13.1,12.9,13.0,6.29,2033
2021-04-21,13.0,13.1,12.95,13.0,6.29,2792
2021-04-20,13.0,13.1,12.9,13.05,6.31,5371
2021-04-19,13.1,13.15,12.9,13.0,6.29,751
2021-04-16,13.1,13.1,12.9,13.1,6.34,1312
2021-04-15,13.1,13.15,12.9,13.1,6.34,1988
2021-04-14,13.1,13.2,13.0,13.0,6.29,2766
2021-04-13,13.1,13.1,13.0,13.0,6.29,325
2021-04-12,13.0,13.1,13.0,13.0,6.29,2082
2021-04-09,13.1,13.1,12.8,13.0,6.29,790
2021-04-08,13.1,13.1,12.65,13.0,6.29,3566
2021-04-07,13.1,13.1,13.0,13.0,6.29,368
2021-04-06,13.05,13.1,12.95,13.05,6.31,4510
2021-04-01,13.3,13.3,12.8,13.05,6.31,5210
2021-03-31,13.1,13.2,13.0,13.0,6.29,2488
2021-03-30,13.0,13.0,12.9,13.0,6.29,1316
2021-03-29,13.0,13.0,12.8,12.9,6.24,1022
2021-03-26,12.8,13.0,12.8,12.9,6.24,3656
2021-03-25,12.8,13.0,12.8,13.0,6.29,1025
2021-03-24,13.0,13.1,12.6,12.9,6.24,5042
2021-03-23,13.0,13.1,12.8,12.9,6.24,3071
2021-03-22,13.0,13.0,12.8,13.0,6.29,2391
2021-03-19,13.0,13.2,12.9,13.0,6.29,3311
2021-03-18,13.0,13.0,12.8,13.0,6.29,2477
2021-03-17,13.2,13.2,13.0,13.0,6.29,2529
2021-03-16,12.6,13.1,12.6,12.9,6.24,2933
2021-03-15,13.0,13.1,12.6,12.8,6.19,7562
2021-03-12,12.8,13.0,12.4,12.9,6.24,6738
2021-03-11,13.0,13.0,12.7,12.7,6.15,3521
2021-03-10,12.8,13.0,12.8,12.8,6.19,3142
2021-03-09,13.0,13.1,12.8,12.8,6.19,5069
2021-03-08,12.9,13.0,12.7,12.8,6.19,4633
2021-03-05,13.1,13.1,12.8,12.8,6.19,1498
2021-03-04,12.9,13.0,12.8,12.9,6.24,2453
2021-03-03,12.8,13.1,12.8,12.8,6.19,4286
2021-03-02,12.9,13.1,12.8,12.9,6.24,3806
2021-03-01,12.7,13.3,12.7,12.9,6.24,4695
2021-02-26,12.7,12.9,12.7,12.7,6.15,1307
2021-02-25,12.6,12.8,12.6,12.6,6.1,4664
2021-02-24,12.8,12.8,12.6,12.6,6.1,480
2021-02-23,12.9,13.0,12.8,12.8,6.19,1294
2021-02-22,13.2,13.3,13.0,13.0,6.29,1350
2021-02-19,13.5,13.7,12.9,13.2,6.39,14298
2021-02-18,13.5,13.7,13.5,13.5,6.53,4741
2021-02-17,13.5,13.5,13.5,13.5,6.53,5095
2021-02-16,13.5,13.5,13.5,13.5,6.53,2250
2021-02-15,13.5,13.5,13.4,13.4,6.48,2332
2021-02-12,13.9,13.9,13.4,13.6,6.58,9237
2021-02-11,13.6,13.9,13.5,13.9,6.73,1093
2021-02-10,14.0,14.0,13.8,13.8,6.68,963
2021-02-09,13.6,13.8,13.6,13.7,6.63,3672
2021-02-08,14.0,14.4,13.6,13.6,6.58,12858
2021-02-05,13.9,13.9,13.5,13.6,6.58,1920
2021-02-04,13.7,14.1,13.5,13.7,6.63,4801
2021-02-03,13.7,13.7,13.3,13.7,6.63,1326
2021-02-02,13.4,13.7,13.1,13.5,6.53,7607
2021-02-01,13.6,13.8,13.3,13.4,6.48,9474
